Location,Nestbox,Species,Year,Wing.Chord,Sex,ID,Mass,SMI,logwing,logmass,Bander,Elevation
BLD,BLD-265,BCCH,2024,66,F,POX12024,12,11.96603284,4.189654742,2.48490665,ONT,1700.784
BLD,BLD-372,BCCH,2024,68,M,255021842,12,11.75381507,4.219507705,2.48490665,SRP,1687.068
BLD,BLD-372,BCCH,2024,63,F,255021832,10.5,10.76634655,4.143134726,2.351375257,ONT,1687.068
BLD,BLD-286,BCCH,2024,66,M,255021812,11,10.96886343,4.189654742,2.397895273,ONT,1655.064
BLD,BLD-286,BCCH,2024,63,F,255021813,14,14.35512874,4.143134726,2.63905733,SRP,1655.064
BLD,BLD-321,BCCH,2024,68,M,255021810,12,11.75381507,4.219507705,2.48490665,ONT,1684.02
BLD,BLD-321,BCCH,2024,64,F,255021809,12,12.18879247,4.158883083,2.48490665,SRP,1684.02
BLD,BLD-407,BCCH,2024,69,M,255021807,12,11.65141006,4.234106505,2.48490665,ONT,1517.599
BLD,BLD-407,BCCH,2024,66,F,255021808,13,12.96320224,4.189654742,2.564949357,WCA,1517.599
BLD,CU-128,BCCH,2024,66,F,255021801,12.5,12.46461754,4.189654742,2.525728644,SRP,1645.92
