Location,Nestbox,Species,Year,Male.Wing.Chord,Male.Tarsus,Male.Bill,Male.Weight,Male.BillHead,Male.ID,Female.Wing.Chord,Female.Tarsus,Female.Bill,Female.Weight,Female.BillHead,Female.ID,Wing_Difference,Tarsus_Difference,Bill_Difference,Weight_Difference,Wing_Difference_Category,BillHead_Difference,Egg_Number,Nestling_Number,Avg_Nestling_Weight,Egg_Nestling_Diff,Pair.ID,Avg.Wing,Avg.Tarsus,Avg.Weight,Avg.Nestling.Wing,Avg.Nestling.Tarsus,MaleBander,FemaleBander,Elevation,Male_SMI,Female_SMI,male.logwing,female.logwing,male.logmass,female.logmass,First.Egg,Provisioning,Group
SGR,SGR-236,MOCH,2020,71,19.5,8.8,12,29.6,283032100,69,19.6,9.2,11,30.1,283032099,2,-0.1,-0.4,1,Slightly,-0.5,8,8,10.88,0,283032100-283032099,70,19.55,11.5,NA,18.7375,KCG,KCG,2491.74,11.6616059,10.88083685,4.262679877,4.234106505,2.48490665,2.397895273,,16,SGRL
BLD,BLD-256,BCCH,2020,70,17.2,8.1,12,29.1,283031991,64,17.9,7.6,11,25.6,283031993,6,-0.7,0.5,1,Much,3.5,7,5,9.6,2,283031991-283031993,67,17.55,11.5,NA,16.3,KCG,KCG,1645.92,11.55135164,11.17305976,4.248495242,4.158883083,2.48490665,2.397895273,119,9,BLDN
BLD,BLD-257,BCCH,2020,70,17.2,7.9,11,28.8,283031990,66,18.1,8.3,11,28.1,283031992,4,-0.9,-0.4,0,Much,0.7,6,6,11,0,283031990-283031992,68,17.65,11,NA,17.36666667,KCG,KCG,1645.92,10.588739,10.96886343,4.248495242,4.189654742,2.397895273,2.397895273,121,16,BLDN
BLD,BLD-289,BCCH,2020,71,17.9,7.8,13,28,283031923,63,17.1,7.5,11,NA,283031999,8,0.8,0.3,2,Much,28,5,3,11,2,283031923-283031999,67,17.5,12,NA,17.05,KCG,KCG,1645.92,12.40801644,11.27902972,4.262679877,4.143134726,2.564949357,2.397895273,121,15,BLDN
BLD,BLD-300,BCCH,2020,65,17.1,7.1,11,26.5,283031998,62,16.2,7.4,11,26.5,283031997,3,0.9,-0.3,0,Slightly,0,5,4,7.5,1,283031998-283031997,63.5,16.65,11,NA,15.675,KCG,KCG,1645.92,11.06970544,11.38772464,4.17438727,4.127134385,2.397895273,2.397895273,122,32,BLDN
BLD,BLD-281 ,BCCH,2020,69,17,7.5,NA,28.1,283031996,65,17,NA,11,NA,283031900,4,0,NA,NA,Much,NA,5,4,11.5,1,283031996-283031900,67,17,5.5,NA,17.475,KCG,KCG,1645.92,NA,11.06970544,4.234106505,4.17438727,NA,2.397895273,119,12,BLDN
BLD,BLD-373,BCCH,2020,71,18.1,8,11,28.5,283031994,66,17.3,8.9,11,28.3,283031995,5,0.8,-0.9,0,Much,0.2,6,4,11,2,283031994-283031995,68.5,17.7,11,NA,NA,KCG,KCG,1655.064,10.49909083,10.96886343,4.262679877,4.189654742,2.397895273,2.397895273,116,17,BLDN
BLD,BLD-326,BCCH,2020,70,18.1,8.1,12,27.9,283032005,63,17.4,7.4,12,26.7,283032004,7,0.7,0.7,0,Much,1.2,6,6,10.83,0,283032005-283032004,66.5,17.75,12,NA,15.75,KCG,KCG,1600.2,11.55135164,12.30439606,4.248495242,4.143134726,2.48490665,2.48490665,,22,FLG
BLD,CU-118,BCCH,2020,70,17,6.7,12,27.3,283032001,63,15.9,6.5,12,26.2,283032000,7,1.1,0.2,0,Much,1.1,7,7,NA,0,283032001-283032000,66.5,16.45,12,NA,NA,KCG,KCG,1638.3,11.55135164,12.30439606,4.248495242,4.143134726,2.48490665,2.48490665,126,,CU
BLD,BLD-388,BCCH,2020,66,17.1,7.5,11,27.4,283032016,67,17.3,7.3,12,26.9,283032015,-1,-0.2,0.2,-1,Female,0.5,6,6,10,0,283032016-283032015,66.5,17.2,11.5,NA,17,KCG,KCG,1630.68,10.96886343,11.85865742,4.189654742,4.204692619,2.397895273,2.48490665,125,10,BLDM
BLD,BLD-347,BCCH,2020,71,17.4,7.5,11,27.4,283032013,66,17.2,7.4,12,28.1,283032014,5,0.2,0.1,-1,Much,-0.7,4,3,NA,1,283032013-283032014,68.5,17.3,11.5,NA,NA,KCG,KCG,1719.072,10.49909083,11.96603284,4.262679877,4.189654742,2.397895273,2.48490665,127,,BLDM
BLD,BLD-409,BCCH,2020,62,17.8,7.6,12,27.6,283032075,62,17.1,7.3,11,27.3,283032076,0,0.7,0.3,1,Same,0.3,5,5,8.46,0,283032075-283032076,62,17.45,11.5,NA,17.7,KCG,KCG,1645.92,12.42297234,11.38772464,4.127134385,4.127134385,2.48490665,2.397895273,,11,BLDS
BLD,BLD-269,BCCH,2020,68,17.2,7.9,11,27.4,283032077,63,17.1,7.5,11,26.1,283032078,5,0.1,0.4,0,Much,1.3,6,5,9,1,283032077-283032078,65.5,17.15,11,NA,15.8,KCG,KCG,1638.3,10.77433048,11.27902972,4.219507705,4.143134726,2.397895273,2.397895273,,15,BLDM
BLD,BLD-320,BCCH,2020,66,17.8,8,12,27.4,283032090,67,18.3,7.7,12,27.4,283032091,-1,-0.5,0.3,0,Female,0,6,4,11.25,2,283032090-283032091,66.5,18.05,12,NA,17.1,KCG,KCG,1554.48,11.96603284,11.85865742,4.189654742,4.204692619,2.48490665,2.48490665,,15,BLDM
BLD,BLD-220,BCCH,2020,65,18.7,7.2,13.5,27.8,290040631,61,18.2,NA,11,27.2,290040632,4,0.5,7.2,2.5,Much,0.6,5,4,10.38,1,290040631-290040632,63,18.45,12.25,NA,17.7,ANT,ANT,1691.64,13.58554759,11.49926026,4.17438727,4.110873864,2.602689685,2.397895273,137,20,BLDN
BLD,BLD-285,BCCH,2020,65,17.4,8.4,11.5,29.1,290040640,61,17,7.2,10,26.5,290040641,4,0.4,1.2,1.5,Much,2.6,8,4,11.5,4,290040640-290040641,63,17.2,10.75,NA,17.425,ANT,ANT,1653.54,11.57287387,10.45387296,4.17438727,4.110873864,2.442347035,2.302585093,131,10,BLDN
MRS,MRS-044,MOCH,2021,69,21.3,8.8,11.5,29.5,291054241,66,21.3,9.9,11,30.4,291054242,3,0,-1.1,0.5,Slightly,-0.9,8,7,11.29,1,291054241-291054242,67.5,21.3,11.25,30.71428571,20.27142857,ANT,ANT,3060.192,11.37542034,11.18483455,4.234106505,4.189654742,2.442347035,2.397895273,154,10,CONE
SGR,SGR-137,MOCH,2021,69,22.4,8.9,NA,30.8,291053959,67,20.8,8.6,NA,29.6,291053960,2,1.6,0.3,NA,Slightly,1.2,7,4,9.75,3,291053959-291053960,68,21.6,0,25,18.95,ANT,ANT,2522.22,NA,NA,4.234106505,4.204692619,NA,NA,144,20,SGRU
SGR,SGR-146,MOCH,2021,69,19.6,9.1,12,29.8,291053941,66,20.8,8.2,10.5,28.9,291053942,3,-1.2,0.9,1.5,Slightly,0.9,7,1,11,6,291053941-291053942,67.5,20.2,11.25,30,18.3,ANT,ANT,2537.46,11.87000384,10.67643298,4.234106505,4.189654742,2.48490665,2.351375257,143,10,SGRU
SGR,SGR-150,MOCH,2021,70,20.4,9.2,12.5,30.1,291054257,63,21.5,9,11.5,29.9,291054258,7,-1.1,0.2,1,Much,0.2,5,4,12,1,291054257-291054258,66.5,20.95,12,38.25,21.075,ANT,ANT,2522.22,12.25479082,12.03535205,4.248495242,4.143134726,2.525728644,2.442347035,168,8,SGRU
SGR,SGR-154,MOCH,2021,71,20.3,8.9,11,32.4,291053950,70,20,8.6,12.5,29.8,291053951,1,0.3,0.3,-1.5,Slightly,2.6,7,6,9.42,1,291053950-291053951,70.5,20.15,11.75,26,18.71666667,ANT,ANT,2537.46,10.6898054,12.25479082,4.262679877,4.248495242,2.397895273,2.525728644,150,,SGRL
SGR,SGR-175 ,MOCH,2021,72,20.4,9,11,30,POX42021,65,20.2,8.8,12,29.8,291054236,7,0.2,0.2,-1,Much,0.2,7,4,12.25,3,POX42021-291054236,68.5,20.3,11.5,38.25,20.275,ANT,ANT,2522.22,10.59752465,12.31766592,4.276666119,4.17438727,2.397895273,2.48490665,145,,SGRU
SGR,SGR-176,MOCH,2021,70,21.7,8.5,11,30.1,291053980,67,20.1,8.6,11,29.5,291053960,3,1.6,-0.1,0,Slightly,0.6,7,6,9.92,1,291053980-291053960,68.5,20.9,11,23.41666667,17.91666667,ANT,MEL,2522.22,10.78421592,11.08105421,4.248495242,4.204692619,2.397895273,2.397895273,143,24,SGRU
SGR,SGR-187,MOCH,2021,69,20.1,9.2,10,30.4,POX52021,65,20.7,9.1,10.5,29.9,291054259,4,-0.6,0.1,-0.5,Much,0.5,9,5,10,4,POX52021-291054259,67,20.4,10.25,26,16.5,MEL,ANT,2468.88,9.891669864,10.77795768,4.234106505,4.17438727,2.302585093,2.351375257,,,SGRU
SGR,SGR-207,MOCH,2021,69,21.3,9.8,11,30.2,291054012,71,20.6,9.1,12.5,29.4,POX22021,-2,0.7,0.7,-1.5,Female,0.8,9,9,9.44,0,291054012-POX22021,70,20.95,11.75,31.88888889,18.51111111,MEL,MEL,2491.74,10.88083685,12.14750614,4.234106505,4.262679877,2.397895273,2.525728644,146,23,SGRU
SGR,SGR-214,MOCH,2021,69,19.6,8.3,12,29.9,POX32021,65,19.2,8.9,12.5,29.7,291054231,4,0.4,-0.6,-0.5,Much,0.2,7,4,12.25,3,POX32021-291054231,67,19.4,12.25,33.5,20.9,ANT,ANT,2491.74,11.87000384,12.830902,4.234106505,4.17438727,2.48490665,2.525728644,146,21,SGRU
